Title,rvwaut__infver,catxtcpt,rvwbd,rvwfoot__helpfulcount,rvwfoot__helpfulcount1,Image_URL
"Thibaut of Vancouver, Other","
                    Verified Reviewer
                ","Original review: Feb. 15, 2023","Their app is full of glitch. I made a claim about an issue, the customer service did not fix my problem but I cannot talk with them anymore as they closed the conversation. Very unprofessional, unpolite and they STOLE my money!","
            
                
                    Be the first one to find this review helpful
                
            
        ",,Rated with 1 star
"Dipanwita of Princeton Junction, NJ","
                    Verified Reviewer
                ","Original review: Feb. 10, 2023","I have been charged an exorbitantly high cleaning fee. I saw an additional charge for my Uber ride taken on 20th Dec from Princeton Jct to JFK. My son who is 9 years old was traveling with me. It's a long ride and due to traffic, it took even longer. Sadly, towards the end of the trip, my son threw up (mostly water). The driver was kind enough to hand over some kitchen towels, a grocery bag and also a bottle of water. I promptly cleaned up the mess. There was no spills, stain on the seats. There was some water leakage from the grocery bag which was sitting on the all weather mat. The car had a camera to record passenger activity.","3 people found this review helpful
            
        ",3 people,Rated with 1 star
"Stacey of Bronx, NY","
                    Verified Reviewer
                ","Original review: Feb. 6, 2023","I am very dissatisfied with the process and structure of the company's guidelines. I reached out to customer service on multiple occasions to correct my account. And even after presenting myself in person to the Queens (NY) location on two different occasions, my account was still flagged was fraudulent and was blocked. This prevented me from being a driver for Uber. Leading me to apply and work for other establishments.","
            
                
                    Be the first one to find this review helpful
                
            
        ",,Rated with 1 star
"Rebeca of Clermont, FL","
                    Verified Reviewer
                ","Original review: Feb. 2, 2023",I had a membership I wanted to cancel and was not aware my 16yr old daughter had added my card to her membership as well so I kept getting monthly charges and Uber would not tell me why. All they said was my account was showing inactive. I finally found out the reason and when we tried canceling my daughter's membership we were two days emailing from all of her accounts to try to get help and no one would do what we asked. Mind you she's a minor and it's my card but they wouldn't do anything. Just kept saying she needed to email support from her email associated with her Uber account. She sent them 3-4 emails from that email account and they kept telling her they didn't receive her emails. She did it via her app and nothing was done either.,"
            
                
                    Be the first one to find this review helpful
                
            
        ",,Rated with 1 star
"Deborah of Santa Cruz, CA","
                    Verified Reviewer
                ","Original review: Feb. 2, 2023","I ordered an Uber driver. Never showed up. Time was critical because I take care of my Mom who is 99 years old. I had scheduled someone to be here with my Mom. But since they never showed up I couldn't go to get an order from a restaurant. For me and my Mom. And besides the I can't get a refund, nobody to talk to. I will use a taxi from now on","3 people found this review helpful
            
        ",3 people,Rated with 1 star
"Christine of Beaverton, OR","
                    Verified Reviewer
                ","Original review: Feb. 1, 2023","I had a very important appointment with my Dr. on 1/31. I ordered my rides a day before. No one showed up. No phone number to call or contact anyone live who can explain why my rides didn't arrive. Their website is useless probably by design. What kind of a business practices like that? A month ago, my son ordered me an Uber ride. The first thing out of the driver's mouth was who was going to pay for the ride. He took me to the wrong address even though the road name was the same. He refused to take me the additional 2.5 miles to the correct location. He said, ""why I should do this for free?"". My son complained and the driver wasn't paid. :)","3 people found this review helpful
            
        ",3 people,Rated with 1 star
"Steven of Colorado Springs, CO","
                    Verified Reviewer
                ","Original review: Jan. 30, 2023","I'm sure I ain't the only one who wonders how Uber gets away with major price gouging?..for instance Saturday night 1/28/23 I ordered an uber home from the bar because my truck had too much to drink and I didn't want to risk getting in trouble, so I ordered a uber ride.. ony a little over 2 miles to my home and they hit me for over $18!! Anyway next morning I had to have them take me back to get the truck. Cost a little over $7 and that is acceptable exactly the same drive the opposite way back. How do they get away with this? Is it legal?","
            
                
                    Be the first one to find this review helpful
                
            
        ",,Rated with 1 star
"Jessica of Fort Lauderdale, FL","
                    Verified Reviewer
                ","Original review: Jan. 28, 2023","We scheduled our Uber yesterday and the cancelled at the time our uber was scheduled which I think is very unprofessional and rude. We scheduled the uber for a reason and then it got cancelled and said no drivers were available. I feel that if we schedule an uber they should be more organized and ensure that people who schedule their uber should get one for when it was planned. Now the earliest uber is FORTY DOLLARS more and won’t even get me where I need to go to. We tried calling uber and they keep talking over us and said, ""I can’t help"" and hung up when we finally had the chance to explain what happened. I think it is ridiculous that they don’t have a customer service number to call and it won’t show up on our trip history to prove that we ordered it. So disappointed that uber cares this little.","4 people found this review helpful
            
        ",4 people,Rated with 1 star
"Antonio of Boise, ID","
                    Verified Reviewer
                ","Original review: Jan. 26, 2023",Received a cancelled ride fee after completing the ride.. All in all the ride quoted me at 22$. Ended up costing well over 50.. When contacting customer support they said they would fix it. They didn't fix it. Now at 29 days past the ** charge I'm trying to check back into it and the website says that they can't do anything with it because the charge happened over 30 days ago.. Between all these new hidden fees and crazy charges they've heartily convinced me to never use Uber again.. Screw Uber and screw Uber's customer support. Every bit of this experience has been troublesome and undesirable.. Uber as a company sucks.. I hope this snake of a company finishes eating its self soon.. Good riddance.. The only reason I gave one star is because I couldn't give 0.,"5 people found this review helpful
            
        ",5 people,Rated with 1 star
"Carrie of Enola, PA","
                    Verified Reviewer
                ","Original review: Jan. 22, 2023","I had a driver who dropped me off at my place and sped away with my phone in the back. I ran after him but he was going SO fast, (in a parking lot mind you!!) and he wasn't paying attention. Needless to say, I couldn't catch him, I have severe asthma. So with my lungs bursting, I try to contact Uber. Let the games begin. Well I did get ahold of the driver finally. He was supposed to call me after his next trip around 9:30pm. He never called. I contact Uber again. He never had my number to call me with, he lied to me and said he did. He was just going to ghost me and sell my phone! So now Uber charged me the $20 lost item fee, and refunded it. I disputed the trip charge and now they're charging me DOUBLE the price of that trip to reinstate services to me. Go Uber.","10 people found this review helpful
            
        ",10 people,Rated with 1 star
"Eliezer of Monsey, NY","
                    Verified Reviewer
                ","Original review: Jan. 19, 2023","I have used Uber previously with all kind of charging issues, but this time tops it all. I ordered a car from LGA airport at 12:00 am. I live 45 minutes away. I get a price of $153 which previously was about $75. Included was a $20 toll charge for a bridge, where there was NO toll on the direction the driver had to take. There is a toll at the opposite direction. Uber refuses to refund me. Horrible customer service. This is outright stealing!","7 people found this review helpful
            
        ",7 people,Rated with 1 star
"Tito of Orlando, FL","
                    Verified Reviewer
                ","Original review: Jan. 15, 2023","I just started driving with Uber; I drove on a part-time basis and started driving with them in July 2022. I drove once in July 2022 and 2 times in January 2023. Mind you, the last two times that I did drive, I even got a tip from my passengers, thus, one can only assume that my riders were pleased with the service. Anyways, when I did try to drive with Uber again in January 2023, I was notified that my account had been deactivated due to low ratings and they wanted me to pay 60 dollars to take a course with them before I would be reactivated. I called them out on this and told them they were just thieves trying to steal people's hard earned money. How are you gonna rate a driver and temporarily deactivate someone after 2 rides? They are just scammers trying to steal people's money by having you take a 60 dollar course that you shouldn't have to take! ","6 people found this review helpful
            
        ",6 people,Rated with 1 star
