# Reviews By User,User URL,State,Username,Country,Date Review Given,Invited,Review URL,Review Title,Review Body,Date of Experience,Rating,Company,Unfair
2,https://www.trustpilot.com/users/637ff7defccf160013d709b1,,Karim Addi,US,A day ago,False,https://www.trustpilot.com/reviews/63f12db09b64b1bdaf5baac1,Stop supporting the crimes and abuse of Lyft against drivers…,"lyft are criminals abusing drivers and stealing from them and threatening them
people should never use their platform ,just ask your driver how much is earning on your trip in case you need a proof
a trip of $250 a driver will earn $50
20% for the driver and 80% for the criminal zionist lyft",2023-02-18,1,Lyft,
1,https://www.trustpilot.com/users/63f107e7264a800012fca4d5,,Doug Webster,US,A day ago,False,https://www.trustpilot.com/reviews/63f107f49b64b1bdaf5b883c,If you like be stranded use Lyft.,"only gave a one because zero was not an option. my wife and i were at dole plantation oahu, opened lyft app and confirmed ride at 4:20. said 45 to 60 minutes, for $75. dole closes at 5:30. at 5:20 the app, and a text, said give us 10 more minutes. after the ten minutes it said no drivers available. and the confirmation disappeared. here we are stranded at dole, no ride, after waiting an hour and 10 minutes. opened the app back up and said driver available in 4 minutes for $245. seams like a scam to me. closed lyft account and will tell everyone i know they suck. if you want a ride, i would recommend anyone but lyft.",2023-02-17,1,Lyft,
1,https://www.trustpilot.com/users/63f1dc9b168cf60012299d5b,,Randy Gee,US,10 hours ago,False,https://www.trustpilot.com/reviews/63f1dcb06f3134764b6dba94,Lyft and their driver screwed me and…,"lyft and their driver screwed me and they don't care about their customers!  i was to be picked up at my hotel so i waited closer to the street since the entrance had a weird turn around....anyhow...i saw the driver drive up and in...so i walked and saw him take another passenger.  i yelled out robert the drivers name fyi tampa and clearwater beach - dodge caravan.anyhow, he waved me off and drove away i messaged him on the app and tried to call....at the same time i couldn't rebook since it showed i was on a ride....so i ended up doing the customer service call back as i had to pay for an uber....i got charged the company refuses my complaint won't give a refund.  i will only use uber from now on even though they cost more!",2023-02-10,1,Lyft,
1,https://www.trustpilot.com/users/63eff35175bb6a001212b35a,,Brenda Harrington,US,2 days ago,False,https://www.trustpilot.com/reviews/63eff8ac9b64b1bdaf5ae3a0,HORRIBLE experience with LYFT. Co.and driver,"the driver was rude and in a hurry.she immediately gave me two other numbers to call if i could not reach her.i had $80 in cash and wasn't going but about five mi.or less and my appointment lasted 25 min. i had asked the nurses to call for my ride (teresa) and she could not be reached
the nurse kept trying and then my nose began to bleed.i was so upset. my clothes were getting blood all over them
it was so bad the dr
cauterized my nose to stop the bleeding. the nurse kept dialing the numbers the woman gave me and going outside looking for her vehicle. she was nowhere to be found.i called a taxi and that is how i got home.my name is brenda harrington and my phone number is 336-875-4519.",2023-02-14,1,Lyft,
3,https://www.trustpilot.com/users/617b771af269730012d60167,,Carmen Foster,US,3 days ago,False,https://www.trustpilot.com/reviews/63eea24e745e480021a7a727,Horrible service!!!,horrible service!!!! will literally book a ride and not give a driver. i waited over thirty minutes for a ride when several cars was on the map but i couldn’t get a ride. then when i did get a ride the driver wasn’t moving on the map.,2023-02-16,1,Lyft,
1,https://www.trustpilot.com/users/5de8d0731ef7dcda26d92aff,,dinisha lyons,US,3 days ago,False,https://www.trustpilot.com/reviews/63ee4ed8745e480021a74cd4,Stolen …,one of they drivers cancel my double stop ride and left with my bag in the car and lyft is not trying to help me contact her to get my bag bck i had personal stuff in there including my baby medicine..,2023-02-14,1,Lyft,
2,https://www.trustpilot.com/users/63a6275df510a20012c21541,,Robbo,US,6 days ago,False,https://www.trustpilot.com/reviews/63ea8b27745e480021a40b4e,The 1st driver   looked cool from her…,the 1st driver   looked cool from her pictures  the next thing lyft  gave me a totally different  driver who never arrived  looked like she was unsafe  from her pictures  ontop of me being  late to go see this potential  apartment  the driver said she was going to be later than what she already was    don't use lyft in savannah georgia,2023-02-13,1,Lyft,
4,https://www.trustpilot.com/users/6344ad1e07d7b20014c24472,,Kalise Bailey,US,3 days ago,False,https://www.trustpilot.com/reviews/63edddf8745e480021a6c9ff,Lyft hires Convicted Felines to drive…,lyft hires convicted felines to drive to your personal private residence to pick up up. you have no idea your life could be in danger. the driver lyft hires is a convicted felon. i have proof.,2022-02-23,1,Lyft,
5,https://www.trustpilot.com/users/5ecb3009c66da3e0838d1027,,Leah Phillips,US,3 days ago,False,https://www.trustpilot.com/reviews/63edd63b9b64b1bdaf5900ae,Stay away from them. The are thieves. They only want money,"i chose to try lyft because i was told it was cheaper than a cab. it’s not worth it! the first time i rode via lyft i failed to tip the driver. she got angry and called a supervisor. the supervisor called me, scolded me and said he was charging a ten dollar tip to my credit card. he was snarky and nasty. i thought that would be the end of it but it wasn't.  since then, they have been charging my card for nothing! i cancelled my credit card and ordered a new one. the still manage to take money from my account. this is stealing! it’s criminal! we need to form a class action lawsuit against them. i’ve read the reviews and it’s clear that i am not the only one they have screwed over. this company consists of liars and criminals. they need to be stopped! spread the word!",2023-02-10,1,Lyft,
1,https://www.trustpilot.com/users/63ebae1ef65cc700127f8bab,,moe,CA,5 days ago,False,https://www.trustpilot.com/reviews/63ebae369b64b1bdaf5732fc,I like to use lyft it's cheaper than…,i like to use lyft it's cheaper than uber but the problem with lyft driver always confused and always lost with the direction and if i call the drivers they don't answer the phone,2023-02-14,1,Lyft,
