# Reviews By User,User URL,State,Username,Country,Date Review Given,Invited,Review URL,Review Title,Review Body,Date of Experience,Rating,Company,Unfair
3,https://www.trustpilot.com/users/602209d7fe424b001a6b711b,KA,KATHLEEN,US,5 hours ago,True,https://www.trustpilot.com/reviews/63f228859b64b1bdaf5c2063,Ellie was exceptional,"all your driver's we very good, knowledgeable and friendly. however, ellie was exceptional. she established a rapport with my daughter and i in the very short time we were in the car with her. she was helpful, answered our questions about the island and even gave us a few suggestions on places she enjoyed eating. which in fact we did try freda's and it was good. thank you, ellie, for your service, customer service and helpfulness!",2023-02-16,5,Uber,False
1,https://www.trustpilot.com/users/63f17dca2c3e940012e887fc,TL,Thomas Littleton,US,17 hours ago,True,https://www.trustpilot.com/reviews/63f17dcb9b64b1bdaf5bd0b2,Disappointed,"driver canceled the ride because he couldn’t find us and we were charged $5.  we were waiting for him but he didn’t show up.  when i tried contacting him, i went directly into voicemail but couldn’t leave a message.  had to order another ride and the second driver picked us up.",2023-02-16,3,Uber,False
1,https://www.trustpilot.com/users/63f1a4db8f66370012afda88,,kumar kanakapura,IN,14 hours ago,False,https://www.trustpilot.com/reviews/63f1a4ef6f3134764b6da9e0,Nasty behavior of Uber auto driver,uber driver complained he does not know the route to destination. refused to talk to my friend who was trying to guide us. dropped me off 10 mins away from destination. demanded payment when it was already paid thro my amex. uber has not cared to respond to my complaints.,2023-02-17,1,Uber,False
2,https://www.trustpilot.com/users/5d1540199a28935fe625fd9c,TL,tlsg1951,US,2 days ago,True,https://www.trustpilot.com/reviews/63f02b579b64b1bdaf5af878,drivers were great but,"my drivers were great, on time, comfortable people, clean, enjoyed the ride. i would've given 5 stars if the price had been reasonable. a 2 mile 5 minute ride should not cost $27 one way and add a tip!! geez!! then to get home. a reasonable fee would be $12 one way! if it was within my budget would use uber more often.
attn corporate please reconsider pricing for seniors thank you",2023-02-14,4,Uber,True
2,https://www.trustpilot.com/users/5e35c6d6ddcefa252263845d,TE,Terry,US,2 days ago,True,https://www.trustpilot.com/reviews/63f013789b64b1bdaf5af12a,My debit card was charged twice for a…,"my debit card was charged twice for a pre schedule ride on february 15th. the original driver never made pickup. i was also charged a cancellation fee after i schedule another ride. the issue has not been resolved by uber. i am a very dissatisfied customer. i will never use uber again, i feel i am being scammed.
uber don't send me anymore emails.",2023-02-15,1,Uber,False
1,https://www.trustpilot.com/users/63f166e3168cf60012298142,TS,Tracy Seegars,US,18 hours ago,True,https://www.trustpilot.com/reviews/63f166e46f3134764b6d9d00,Great ride and friendly driver and great conversation,the experience with my driver was on time and nice conversation and clean ride and felt safe some time and some time ride seem cold and hide you get out fast. i been a rider going 3 to 4 months and so fat no regrets getting to work and home.,2023-02-17,5,Uber,False
1,https://www.trustpilot.com/users/63effce875bb6a001212b86e,JC,JC,US,2 days ago,True,https://www.trustpilot.com/reviews/63effcea9b64b1bdaf5ae667,Honesty goes a long way,"i was picked up at the airport, and started talking to my driver rodolfo, who was very pleasant and easy going.
when i got dropped off, i forgot my bag in his vehicle, and i started panicking because i had my wallet and all my clothes in that bag. i called customer support and they put me in contact with rodolfo, who was already in route to another pick up. he was gracious enough to come back to my house and return my bag with all my belogings. thank you rodolfo and thank you uber for having the best employees.",2023-02-16,5,Uber,False
2,https://www.trustpilot.com/users/5d5e3dc9e427cd45d4078c07,MS,Madeline Scheele (Mage),AU,2 days ago,True,https://www.trustpilot.com/reviews/63effea36f3134764b6cba08,Easy and efficient,as i live in rural queensland i have not used uber very much before but it turned out to be very easy. the driver was not far away and arrived in a spacious car that fitted us and our luggage. the drive to the airport was efficient and not having to fumble around for payment at the end was a bonus.,2023-02-14,5,Uber,False
3,https://www.trustpilot.com/users/5aa5dc1f4de5666d3424678d,KH,KH,US,2 days ago,True,https://www.trustpilot.com/reviews/63f06a569b64b1bdaf5b04fb,Never again with Uber,"the ride to the concert was fine.  the ride home-- didn't happen.  driver no-showed and uber decided to send someone else.  uber was sending someone else, bu they never showed and charged us a $35.00 cancellation fee.  disputing that now.  we went with a better company for a ride home.",2023-02-16,1,Uber,False
1,https://www.trustpilot.com/users/63ee721c29a798001558bb8f,KR,Kevin Reay,GB,3 days ago,True,https://www.trustpilot.com/reviews/63ee721e745e480021a778ff,I’m old,"i’m old. well i’m 57. i’ve spent too much of life on hold to cab offices to be cut off by chardonnay who needed a cigarette after 15 minutes of love island, that she was watching rather than contacting drivers. i could have stuck with the miserable drivers telling me how bad the traffic was as they took me on a 7 detour to ramp the meter up. then demand a tip because the “heating bills have gone up innit.”
no. i’ve downloaded uber and never looked back. it’s brilliant",2023-02-15,5,Uber,False
7,https://www.trustpilot.com/users/569f69870000ff0001fe15a2,EK,Evan Kirby,AU,3 days ago,False,https://www.trustpilot.com/reviews/63ee9c9b9b64b1bdaf59e125,I ordered an Uber XL which is supposed…,i ordered an uber xl which is supposed to be able to accommodate 6 people. it was for 4 adults plus airline luggage. then a toyota prius arrived. after some shoehorning we were squeezed in. this was not an xl size vehicle. uber needs to send a strong message to drivers that this is not acceptable.,2023-02-16,1,Uber,False
1,https://www.trustpilot.com/users/63f16ee18f66370012afcc1e,TR,Tom Raffo,US,18 hours ago,True,https://www.trustpilot.com/reviews/63f16ee29b64b1bdaf5bcd05,First time !,"needed a round trip ride, 2 hours apart. first time using uber, and i-phone procedures were thorough and    detailed. drivers were friendly and courteous. will be using them again !",2023-02-17,5,Uber,False
1,https://www.trustpilot.com/users/63efffed264a800012fc1e5e,DJ,Dustin Jackson,US,2 days ago,True,https://www.trustpilot.com/reviews/63efffee6f3134764b6cbab5,Uber driver was horrible …,my first uber driver picked me up with all of my stuff i was moving he said it was to far and had me get it i had to cancel and get another uber and you guys still charged me for that driver not wanting to go that far,2023-02-17,3,Uber,False
2,https://www.trustpilot.com/users/5fc985786e4e34001ad51918,CL,Charles Lloyd,US,14 hours ago,True,https://www.trustpilot.com/reviews/63f1a2256f3134764b6da977,Drivers are prompt,"drivers are prompt. we experienced a few drops, but we were able to get another driver quickly.  the vehicles were always clean and the drivers are always friendly and courteous.",2023-02-18,5,Uber,False
1,https://www.trustpilot.com/users/63f0e6f419bcd900139b2496,JA,Jacquie,CA,A day ago,True,https://www.trustpilot.com/reviews/63f0e6f56f3134764b6d3bb9,Very Efficient,"drivers are always friendly and courteous. quick and cost efficient way of getting to and from places.
you don't have to wait long as well as knowing the driver's name, make of car and license plate number.",2023-02-17,5,Uber,False
1,https://www.trustpilot.com/users/63ed54163a59920013fd50d7,,Jessica Porter,US,4 days ago,False,https://www.trustpilot.com/reviews/63ed541e745e480021a6931f,Uber drivers need ar have a age limit I…,uber drivers need ar have a age limit i work 15 min from my house and it take a uber 30 minutes to get me there they drive slow..there cars don't match what is sent to u..u can never find one at 11pm at night i've had to take uber the last month and i'm switching to lyft...i have never experienced so many non drivers before now .,2023-02-15,2,Uber,True
2,https://www.trustpilot.com/users/61eddb2a80da8700133c2819,RH,ROBERT HUFF,US,4 hours ago,True,https://www.trustpilot.com/reviews/63f236f49b64b1bdaf5c2b85,Information prior to confirming,"i would like to know the type of vehicle and driver before confirming the ride. the app told me the distance away, but nothing about the vehicle or driver until confirmed.",2023-02-17,3,Uber,True
1,https://www.trustpilot.com/users/63f0abc18f66370012af4c86,JS,JAY SHAH,US,A day ago,True,https://www.trustpilot.com/reviews/63f0abc36f3134764b6d0474,I like Uber because it's flexible.,"i like uber because it's flexible.
but uber offers very low money to drivers and they keep high percentage of money.
uber should provide insurance.
uber supports needs improvement and needs live support.",2023-02-18,3,Uber,True
8,https://www.trustpilot.com/users/5f41f6532c7daf45ed3c2d8f,LP,Lewis Phillips (edibox),GB,4 days ago,False,https://www.trustpilot.com/reviews/63ed1e0b9b64b1bdaf589116,The future of transport,"fixes many issues present by old taxi companies. in recent months ubers prices have dropped to be more competitive too. the only downside if any, is drivers being picky and choosey over the jobs the accept. i've also found the rating system to be somewhat flawed however this hasn't been a huge issue",2023-02-14,4,Uber,True
1,https://www.trustpilot.com/users/63efddc3accb110014b71535,YV,Yvette_RN,KE,2 days ago,True,https://www.trustpilot.com/reviews/63efddc49b64b1bdaf5acda1,The driver ended the trip early and…,"the driver ended the trip early and then at the end of the trip asked for more cash yet i had a discount when i was booking the ride.. however, in the end i payed the money that had been discounted.",2023-02-13,3,Uber,False
1,https://www.trustpilot.com/users/63edb8693a59920013fd7bd0,,siji oommen,IN,4 days ago,False,https://www.trustpilot.com/reviews/63edb972745e480021a6b883,This is ridiculous when you book a cab…,"this is ridiculous when you book a cab and the driver cancel your trip after accepting it if you don't want to take your trip do not accept it and waste our time .
we wait for more than 7 to 10 min and then they cancels it.dont want to work then don't do it.",2023-02-15,1,Uber,False
