# Reviews By User,User URL,State,Username,Country,Date Review Given,Invited,Review URL,Review Title,Review Body,Date of Experience,Rating,Company,Unfair
3,https://www.trustpilot.com/users/602209d7fe424b001a6b711b,KA,KATHLEEN,US,5 hours ago,1,https://www.trustpilot.com/reviews/63f228859b64b1bdaf5c2063,Ellie was exceptional,all your drivers we very good knowledgeable and friendly however ellis was exceptional she established a support with my daughter and i in the very short time we were in the car with her she was helpful answered our questions about the island and even gave us a few suggestions on places she enjoyed eating which in fact we did try areas and it was good thank you ellis for your service customer service and helpfulness,2023-02-16,5,Uber,0
1,https://www.trustpilot.com/users/63f17dca2c3e940012e887fc,TL,Thomas Littleton,US,17 hours ago,1,https://www.trustpilot.com/reviews/63f17dcb9b64b1bdaf5bd0b2,Disappointed,driver canceled the ride because he couldn’t find us and we were charged 5  we were waiting for him but he didn’t show up  when i tried contracting him i went directly into voicemail but couldn’t leave a message  had to order another ride and the second driver picked us up,2023-02-16,3,Uber,0
2,https://www.trustpilot.com/users/5d1540199a28935fe625fd9c,TL,tlsg1951,US,2 days ago,1,https://www.trustpilot.com/reviews/63f02b579b64b1bdaf5af878,drivers were great but,"my drivers were great on time comfortable people clean enjoyed the ride i would given 5 stars if the price had been reasonable a 2 mile 5 minute ride should not cost 27 one way and add a tip gee then to get home a reasonable fee would be 12 one way if it was within my budget would use user more often
att corporate please reconsider pricking for seniors thank you",2023-02-14,4,Uber,1
2,https://www.trustpilot.com/users/5e35c6d6ddcefa252263845d,TE,Terry,US,2 days ago,1,https://www.trustpilot.com/reviews/63f013789b64b1bdaf5af12a,My debit card was charged twice for a…,"my debit card was charged twice for a pre schedule ride on february with the original driver never made picked i was also charged a cancellation fee after i schedule another ride the issue has not been resolved by user i am a very dissatisfied customer i will never use user again i feel i am being slammed
user dont send me anymore email",2023-02-15,1,Uber,0
1,https://www.trustpilot.com/users/63f166e3168cf60012298142,TS,Tracy Seegars,US,18 hours ago,1,https://www.trustpilot.com/reviews/63f166e46f3134764b6d9d00,Great ride and friendly driver and great conversation,the experience with my driver was on time and nice conversation and clean ride and felt safe some time and some time ride seem cold and hide you get out fast i been a rider going 3 to 4 months and so fat no regrets getting to work and home,2023-02-17,5,Uber,0
1,https://www.trustpilot.com/users/63effce875bb6a001212b86e,JC,JC,US,2 days ago,1,https://www.trustpilot.com/reviews/63effcea9b64b1bdaf5ae667,Honesty goes a long way,"i was picked up at the airport and started talking to my driver rudolf who was very pleasant and easy going
when i got dropped off i forgot my bag in his vehicle and i started packing because i had my wallet and all my clothes in that bag i called customer support and they put me in contact with rudolf who was already in route to another pick up he was gracious enough to come back to my house and return my bag with all my belongings thank you rudolf and thank you user for having the best employees",2023-02-16,5,Uber,0
2,https://www.trustpilot.com/users/5d5e3dc9e427cd45d4078c07,MS,Madeline Scheele (Mage),AU,2 days ago,1,https://www.trustpilot.com/reviews/63effea36f3134764b6cba08,Easy and efficient,as i live in rural queensland i have not used user very much before but it turned out to be very easy the driver was not far away and arrived in a spacious car that fitted us and our luggage the drive to the airport was efficient and not having to humble around for payment at the end was a bonus,2023-02-14,5,Uber,0
3,https://www.trustpilot.com/users/5aa5dc1f4de5666d3424678d,KH,KH,US,2 days ago,1,https://www.trustpilot.com/reviews/63f06a569b64b1bdaf5b04fb,Never again with Uber,the ride to the concert was fine  the ride home didn happen  driver showed and user decided to send someone else  user was sending someone else bu they never showed and charged us a 3500 cancellation fee  disputing that now  we went with a better company for a ride home,2023-02-16,1,Uber,0
1,https://www.trustpilot.com/users/63ee721c29a798001558bb8f,KR,Kevin Reay,GB,3 days ago,1,https://www.trustpilot.com/reviews/63ee721e745e480021a778ff,I’m old,"i’m old well i’m 57 i’ve spent too much of life on hold to cab offices to be cut off by chardonnay who needed a cigarette after 15 minutes of love island that she was watching rather than contracting drivers i could have stuck with the miserable drivers telling me how bad the traffic was as they took me on a 7 detour to camp the peter up then demand a tip because the “heating bills have gone up inner”
no i’ve download user and never looked back it’s brilliant",2023-02-15,5,Uber,0
7,https://www.trustpilot.com/users/569f69870000ff0001fe15a2,EK,Evan Kirby,AU,3 days ago,0,https://www.trustpilot.com/reviews/63ee9c9b9b64b1bdaf59e125,I ordered an Uber XL which is supposed…,i ordered an user ll which is supposed to be able to accommodate 6 people it was for 4 adults plus airline luggage then a tooth pus arrived after some shoehorning we were squeezed in this was not an ll size vehicle user needs to send a strong message to drivers that this is not acceptable,2023-02-16,1,Uber,0
1,https://www.trustpilot.com/users/63f16ee18f66370012afcc1e,TR,Tom Raffo,US,18 hours ago,1,https://www.trustpilot.com/reviews/63f16ee29b64b1bdaf5bcd05,First time !,needed a round trip ride 2 hours apart first time using user and phone procedures were thorough and    detailed drivers were friendly and courteous will be using them again ,2023-02-17,5,Uber,0
1,https://www.trustpilot.com/users/63efffed264a800012fc1e5e,DJ,Dustin Jackson,US,2 days ago,1,https://www.trustpilot.com/reviews/63efffee6f3134764b6cbab5,Uber driver was horrible …,my first user driver picked me up with all of my stuff i was moving he said it was to far and had me get it i had to cancel and get another user and you guns still charged me for that driver not wanting to go that far,2023-02-17,3,Uber,0
